ID,Binomial,Common_name,Class,Citation,Location,Units,Method,TaxonomicGroup,exclude_manual,notes
23037,Spatula_clypeata,Northern shoveler,Aves,"Deceuninck, B., and C. Fouque. 2010. Canards dénombrés en France en hiver: importance des zones humides et tendances. Ornithos 17:266-283.",France,Index,Index with baseline year 2009 based on IWC mid-January census,Birds,no,
23038,Tadorna_tadorna,Common shelduck,Aves,"Deceuninck, B., and C. Fouque. 2010. Canards dénombrés en France en hiver: importance des zones humides et tendances. Ornithos 17:266-283.",France,Index,Index with baseline year 2009 based on IWC mid-January census,Birds,no,
12009,Limosa_haemastica,Hudsonian godwit,Aves,"Harrington, B. A., B. Nikula, et al. (2012). ""Occurrence and changing numbers of Hudsonian Godwits during southward migration in the eastern United States."" Wader Study Group Bulletin 119(1): 52-55.","Newburyport region, Massachusetts",Maximum number of individuals,"Maximum number of godwits during southward migration obtained from a variety of published and unpublished sources, including the International Shorebird Survey.",Birds,no,
12010,Limosa_haemastica,Hudsonian godwit,Aves,"Harrington, B. A., B. Nikula, et al. (2012). ""Occurrence and changing numbers of Hudsonian Godwits during southward migration in the eastern United States."" Wader Study Group Bulletin 119(1): 52-55.","Chatham region, Massachusetts",Maximum number of individuals,"Maximum number of godwits during southward migration obtained from a variety of published and unpublished sources, including the International Shorebird Survey.",Birds,no,
1001,Anas_crecca,Common teal,Aves,"Jamieson, L. E. and S. P. Brooks (2004). ""Density dependence in North American ducks."" Animal Biodiversity and Conservation 27(1): 113-128.",North America,Population index,Annual population estimate adjusted for biases,Birds,no,
12088,Catharacta_skua,Great skua,Aves,"Jones, T., C. Smith, et al. (2008). ""Breeding performance and diet of Great Skuas Stercorarius skua and Parasitic Jaegers (Arctic Skuas) S. parasiticus on the west coast of Scotland."" Bird Study 55: 257-266.|Smith, C., V. Culshaw, et al. (2010). Handa Island Skua Project Annual Report 2010. Unpublished report to SWT, SNH, JNCC, SOC and The Seabird Group.","Handa Island, Scotland",Number of apparently occupied territories,Direct counts of nests and apparently occupied territories,Birds,no,
18240,Pelecanus_crispus,Dalmatian pelican,Aves,"Kambourova, N. 2004. The Current State of Colonial Waterbirds in Srebarna Managed Reserve. Annuals of Sofia University ""St. Kliment Ohridski"" Vol. 96(Department of Biology, Book 4 - X Science Session, Sofia 2003, Part II): 313 - 320.","Lake Srebarna, Srebarna Nature Reserve",Number of breeding pairs,Census of individuals,Birds,no,
12295,Anser_brachyrhynchus,Pink-footed goose,Aves,"Kuijken, E., C. Verscheure, et al. (2006). Long-term trends in numbers and distribution of wintering geese in the Oostkustpolders, Flanders (Belgium). Waterbirds around the world. G. C. Boere, C. A. Galbraith and D. A. Stroud. Edinburgh, UK, The Stationery Office: 960pp.","Oostkustpolders, Flanders",Maximum number of individuals in winter,Direct counts of wintering geese,Birds,no,
12304,Anser_albifrons,Greater white-fronted goose,Aves,"Kuijken, E., C. Verscheure, et al. (2006). Long-term trends in numbers and distribution of wintering geese in the Oostkustpolders, Flanders (Belgium). Waterbirds around the world. G. C. Boere, C. A. Galbraith and D. A. Stroud. Edinburgh, UK, The Stationery Office: 960pp.Edinburgh, UK, The Stationery Office: 960pp.","Oostkustpolders, Flanders",Maximum number of individuals in winter,Direct counts of wintering geese,Birds,no,
12074,Anser_fabalis,Bean goose,Aves,"Mitchell, C., K. Colhoun, et al. (2010). Trends in goose numbers wintering in Britain & Ireland, 1995 to 2008. Expanding Goose Populations and their Management. S. Svensson. Höllviken, Sweden, Ornis Svecica. 20: 128-143.","Britain, Ireland",Number of individuals,National count data of wintering flocks based on the number of individuals entering or leaving roosts to feed. Some data are from the Wetland Bird Survey (WeBS) in areas the national survey does not include.,Birds,no,
12308,Anser_brachyrhynchus,Pink-footed goose,Aves,"Mitchell, C., K. Colhoun, et al. (2010). Trends in goose numbers wintering in Britain & Ireland, 1995 to 2008. Expanding Goose Populations and their Management. S. Svensson. Höllviken, Sweden, Ornis Svecica. 20: 128-143.","Britain, Ireland",Number of individuals,National count data of wintering flocks based on the number of individuals entering or leaving roosts to feed. Some data are from the Wetland Bird Survey (WeBS) in areas the national survey does not include.,Birds,no,
12357,Anser_albifrons,Greater white-fronted goose,Aves,"Mitchell, C., K. Colhoun, et al. (2010). Trends in goose numbers wintering in Britain & Ireland, 1995 to 2008. Expanding Goose Populations and their Management. S. Svensson. Höllviken, Sweden, Ornis Svecica. 20: 128-143.","Britain, Ireland",Number of individuals,National count data of wintering flocks based on the number of individuals entering or leaving roosts to feed. Some data are from the Wetland Bird Survey (WeBS) in areas the national survey does not include.,Birds,no,
12581,Branta_bernicla,Brent goose,Aves,"Mitchell, C., K. Colhoun, et al. (2010). Trends in goose numbers wintering in Britain & Ireland, 1995 to 2008. Expanding Goose Populations and their Management. S. Svensson. Höllviken, Sweden, Ornis Svecica. 20: 128-143.","Britain, Ireland (Light-bellied brent goose, Svalbard population)",Number of individuals,National count data of wintering flocks based on the number of individuals entering or leaving roosts to feed. Some data are from the Wetland Bird Survey (WeBS) in areas the national survey does not include.,Birds,no,
12582,Branta_bernicla,Brent goose,Aves,"Mitchell, C., K. Colhoun, et al. (2010). Trends in goose numbers wintering in Britain & Ireland, 1995 to 2008. Expanding Goose Populations and their Management. S. Svensson. Höllviken, Sweden, Ornis Svecica. 20: 128-143.","Britain, Ireland (Light-bellied brent goose, East Canadian High Arctic population) ",Number of individuals,National count data of wintering flocks based on the number of individuals entering or leaving roosts to feed. Some data are from the Wetland Bird Survey (WeBS) in areas the national survey does not include.,Birds,no,
17785,Haliaeetus_leucocephalus,Bald eagle,Aves,"Mougeot, F., J. Gerrard, et al. (2013). ""Population trends and reproduction of bald eagles at Besnard Lake, Saskatchewan, Canada 1968-2012."" Journal of Raptor Research 47(2): 96-107.","Besnard Lake, Saskatchewan",Number of occupied breeding areas,Annual censuses by air or boat,Birds,no,
12650,Clangula_hyemalis,Long-tailed duck,Aves,"Nilsson, L. (2012). ""Distribution and numbers of wintering sea ducks in Swedish offshore waters."" Ornis Svecica 22: 39-59.",South coast of Scania,Annual total number of individuals,Annual boats and aerial survey counts conducted as part of the International Midwinter Waterbirds Census (Wetlands International).,Birds,no,
