"Id","Loc","Name","smap1dR2","loglinearR2","rickerR2","best1dR2","best1dmodel","ARmodR2"
"GPDD_9690","Letzlingen","Pine-tree lappet",0.427166583456851,0.139197961698758,0.17754455827101,0.427166583456851,"1dsmap",0.700718522608577
"GPDD_9791","Great Wood, Wytham Woods","Wood mouse",0.348234896271515,-0.10895708241802,-0.40017144512136,0.348234896271515,"1dsmap",0.186427083520406
"GPDD_9792","Great Wood, Wytham Woods","Bank vole",0.0292507457652534,-0.199326318267621,-0.291466577603991,0.0292507457652534,"1dsmap",0.0135336375492539
"GPDD_9793","Rooipoort, Kimberley","Namaqua sandgrouse",-0.0232938710893882,-0.16937312751941,-0.0746793206756138,-0.0232938710893882,"1dsmap",0.198459399418932
"GPDD_9833","East Anglia","Nutria or Coypu",0.950196399999982,0.949220138193439,0.950196399999982,0.950196399999982,"ricker",0.950196399999982
"GPDD_9834","East Anglia","Nutria or Coypu",0.958530063484545,0.958457311425806,0.958530063484545,0.958530063484545,"ricker",0.968740935840309
"GPDD_9917","Pallasjarvi, Finnish Lapland","Field vole",-0.0250300463116357,-0.025922692823571,-0.0250300463116357,-0.0250300463116357,"ricker",-0.0250300463116357
"GPDD_9918","Pallasjarvi, Finnish Lapland","Root vole",-0.0221967740346294,-0.0221967740346294,-0.0223512283133991,-0.0221967740346294,"loglinear",-0.0221967740346294
"GPDD_9919","Pallasjarvi, Finnish Lapland","Northern red-backed vole",-0.0245849491521857,-0.0368559650662739,-0.0595136462241725,-0.0245849491521857,"1dsmap",-0.0368559650662739
"GPDD_9920","Pallasjarvi, Finnish Lapland","Grey-sided vole, red-grey vole",-0.0347699319497718,-0.0353691939732896,-0.0347699319497718,-0.0347699319497718,"ricker",-0.0347699319497718
"GPDD_9921","Pallasjarvi, Finnish Lapland","Bank vole",-0.0507895884677541,-0.0507895884677541,-0.0630912521646714,-0.0507895884677541,"loglinear",-0.0507895884677541
"LP_539","Gran Paradiso NP, NW Italy","Alpine ibex",0.560150761883723,0.51642332493505,0.505114743628491,0.560150761883723,"1dsmap",0.536439628580726
"LP_848","Adams Complex, British Columbia","Sockeye salmon / Red salmon",0.640247142565779,-0.357876277194889,-0.422618416519714,0.640247142565779,"1dsmap",0.575041579752977
"LP_849","Birkenhead River, BC","Sockeye salmon / Red salmon",0.192902962475817,-0.0384101027174546,-0.0601852469368753,0.192902962475817,"1dsmap",0.202622451944826
"LP_850","Chilko Lake, British Columbia","Sockeye salmon / Red salmon",0.266165895150907,-0.212005294896698,-0.310292681449744,0.266165895150907,"1dsmap",0.45407775005195
"LP_851","Chilko River, BC","Sockeye salmon / Red salmon",0.277656290899066,-0.21021334170052,-0.363460660149266,0.277656290899066,"1dsmap",0.211054316577893
"LP_852","Early Stuart Complex, BC","Sockeye salmon / Red salmon",0.387532036117896,-0.161825317831676,-0.0945712903767124,0.387532036117896,"1dsmap",0.373561032699833
"LP_853","Horsefly River, BC","Sockeye salmon / Red salmon",0.959315350306781,-0.16597579385666,-0.190178139171091,0.959315350306781,"1dsmap",0.959315350306781
"LP_854","Late Stuart Complex, BC","Sockeye salmon / Red salmon",0.390390343756577,-0.127679444361564,-0.177599675524217,0.390390343756577,"1dsmap",0.479657542310313
"LP_856","Rivers Inlet, BC","Sockeye salmon / Red salmon",0.0013491605618331,-0.0450978699835061,-0.0763207326270952,0.0013491605618331,"1dsmap",0.0243665975595749
"LP_857","Smith Inlet, BC","Sockeye salmon / Red salmon",0.299077297031927,0.210370375112745,0.193955163385372,0.299077297031927,"1dsmap",0.297857134933953
"LP_858","Stellako River, BC","Sockeye salmon / Red salmon",0.0974757377122961,-0.116105502315034,-0.0978095576919067,0.0974757377122961,"1dsmap",0.264876696073795
"LP_859","Weaver Creek, BC","Sockeye salmon / Red salmon",0.135415666695571,-0.00757775306457131,0.0612783581394558,0.135415666695571,"1dsmap",0.17117069230604
"LP_861","Black Lake, Alaska","Sockeye salmon / Red salmon",0.298019021723237,0.24749688365953,0.292912430476967,0.298019021723237,"1dsmap",0.310660943449061
"LP_862","Egegik River, Alaska","Sockeye salmon / Red salmon",0.295370881598387,0.180779346439296,0.126036879084621,0.295370881598387,"1dsmap",0.292325796452742
"LP_863","Igushik River, Alaska","Sockeye salmon / Red salmon",-0.00876632833565383,-0.120915612524639,-0.0867414410806577,-0.00876632833565383,"1dsmap",-0.0422913996356631
"LP_866","Kvichak River, Alaska","Sockeye salmon / Red salmon",0.418216406104553,-0.234323832676214,-0.164441326850009,0.418216406104553,"1dsmap",0.292498163748719
"LP_868","Naknek, Alaska","Sockeye salmon / Red salmon",0.15079993703458,-0.0254689435380813,-0.0901521856738889,0.15079993703458,"1dsmap",0.23474459236573
"LP_869","Red River, Alaska","Sockeye salmon / Red salmon",0.542273960086067,0.177052237173385,0.251352042784662,0.542273960086067,"1dsmap",0.287778238929044
"LP_870","Ugashik River, Alaska","Sockeye salmon / Red salmon",0.0971587920236893,0.0649225826013106,0.0604137876372656,0.0971587920236893,"1dsmap",0.0971587920236893
"LP_871","Wood River, Alaska","Sockeye salmon / Red salmon",0.167888376539034,-0.0405326725969402,-0.0960793183898998,0.167888376539034,"1dsmap",0.176780674797993
"LP_885","Michigan Waters of Lake Superior","Lake trout",0.856735576156041,0.846466765188834,0.849145695993508,0.856735576156041,"1dsmap",0.849145695993508
"LP_886","Wisconsin Waters of Lake Superior","Lake trout",0.580516790188056,0.580516790188057,0.559496999925422,0.580516790188057,"loglinear",0.580516790188056
"LP_992","North America","Northern pintail",0.304783604818782,0.304783604818782,0.28496746519082,0.304783604818782,"loglinear",0.304783604818782
"LP_995","North America","American wigeon",0.295652668572414,0.240694832762186,0.233909998267249,0.295652668572414,"1dsmap",0.252703862906516
"LP_999","North America","Northern shoveler",0.306121699242054,0.264483365922697,0.296011548231918,0.306121699242054,"1dsmap",0.296011548231918
"LP_1001","North America","Common teal",0.322475258464775,0.262503637629322,0.23934452690663,0.322475258464775,"1dsmap",0.340840146010068
"LP_1007","North America","Blue-winged teal",0.458412448525578,0.430703605951942,0.415323008209648,0.458412448525578,"1dsmap",0.475739302282453
"LP_1014","North America","Mallard",0.646275347851905,0.64454757138867,0.646275347851905,0.646275347851905,"ricker",0.69350186335696
"LP_1019","North America","Gadwall",0.876543019403018,0.876543019403018,0.875063566326035,0.876543019403018,"loglinear",0.876543019403018
"LP_1024","North America","Redhead",0.525597769616866,0.498130186821748,0.485637389458628,0.525597769616866,"1dsmap",0.545684305999462
"LP_1029","North America","Canvasback",0.106954327101147,0.0871327745040766,0.0574485413435291,0.106954327101147,"1dsmap",0.106954327101147
"LP_1438","NAFO 4X","Atlantic cod / Cod",0.753754503043903,0.752838244506155,0.752075378149849,0.753754503043903,"1dsmap",0.822588152318807
"LP_1933","Tipperne","Northern lapwing",0.860600860920744,0.856857237935982,0.856331494555685,0.860600860920744,"1dsmap",0.860600860920744
"LP_1965","Farne Islands","Grey seal",0.802629847696696,0.801223558709102,0.798945808435479,0.802629847696696,"1dsmap",0.84596559858371
"LP_2048","Northern Strait of Georgia","Pacific herring",0.565338750368977,0.54347533822579,0.565338750368977,0.565338750368977,"ricker",0.565338750368977
"LP_2077","Hauraki gulf/Bay of Plenty, New Zealand","Silver seabream",0.947551306721518,0.946898452747036,0.946756414688039,0.947551306721518,"1dsmap",0.971433110046724
"LP_2078","New Zealand SNA 8","Silver seabream",0.997256899713165,0.995544154309398,0.997148486525839,0.997256899713165,"1dsmap",0.997256899713165
"LP_2079","Hecate Strait (Area DC/5)","English sole",0.636745011369923,0.606862888652585,0.621298814987883,0.636745011369923,"1dsmap",0.621298814987883
"LP_2092","Pacific coast of Japan","Chub mackerel",0.889811542026974,0.886685429788655,0.889811542026974,0.889811542026974,"ricker",0.889811542026974
"LP_3265","Pacific Flyway","Canada goose",0.450107275012537,0.439624259754307,0.428086606891068,0.450107275012537,"1dsmap",0.450107275012537
"LP_4504","British Columbia coast","Sablefish",0.99528411770651,0.994744330481952,0.99478320045172,0.99528411770651,"1dsmap",0.99851642696238
"LP_4505","NAFO divisions 4X5Y, Southern Scotian Sh","Haddock",0.775164365426707,0.775164365426707,0.774366937181991,0.775164365426707,"loglinear",0.813688654309124
