"ID","R2abund","R2gr","modelform","E","tau","theta","JLEmin","JLEmean","JLEsign","smap1dR2","ARmodR2"
"V24",0.67543091949775,0.170785797589871,"gr-log",5,1,0.5,-0.113192694329551,-0.112155226284745,"not chaotic",0.643573005897869,0.665433059538003
"V25",0.805266474175944,0.33038768729349,"gr-log",6,1,1,-0.0436356994367525,-0.040503524893494,"not chaotic",0.735050322784374,0.795718823259338
"V26",0.895028209821443,0.562680898119331,"gr-log",6,1,0.75,-0.0217603819499754,-0.0177961522295688,"not chaotic",0.796873283615441,0.886740453697688
"V27",0.906793474779501,0.730065351450797,"gr-log",5,1,3,-0.0152338805736104,-0.0121586388021845,"not chaotic",0.760173323734823,0.850949327325492
"V28",0.907800725267827,0.802815731880391,"gr-log",5,1,4,-0.0245535096234474,-0.0228676822080007,"not chaotic",0.75594946551063,0.805342984878834
"V29",0.865945223418404,0.773374319380846,"gr-log",5,1,6,-0.0212986308200837,-0.0171358468301039,"not chaotic",0.705880617081314,0.693966354886317
"V30",0.839550363927634,0.82031516637252,"gr-log",6,1,6,-0.0204615308882367,-0.00962692723335194,"not chaotic",0.665263362623918,0.627555779020945
"V31",0.750876714349087,0.741648522756814,"gr-log",5,1,8,0.0585492044284685,0.0634811142673722,"chaotic",0.606096045557228,0.572296191953071
"V32",0.748008598457128,0.7811787497323,"gr-log",3,1,8,0.0710072307823601,0.0720462595603509,"chaotic",0.597639766869023,0.527697123850177
"V33",0.712218247444051,0.735289821955029,"gr-log",4,1,8,0.0577243567185589,0.0675500097602484,"chaotic",0.478798611066361,0.39850524055984
"V34",0.587477695305382,0.738041804745673,"gr-log",4,1,8,0.0865176825766038,0.0930798745415533,"chaotic",0.439928244660622,0.315150499522263
"V35",0.461925245696169,0.698139597846323,"gr-log",3,1,8,0.0574068072300585,0.0661248412993319,"chaotic",0.277309548906714,0.142000197461964
"V36",0.425683991315053,0.732098682712744,"gr-log",3,1,8,0.115367966815655,0.127609311941751,"chaotic",0.157678227347724,-0.0433361466522222
"V37",0.157858228848621,0.582140846101656,"gr-log",2,1,8,-0.0238189212694642,-0.00851894510622631,"not chaotic",0.0777641131724729,-0.217048005514154
"V38",0.173039299862485,0.695542218764679,"gr-log",2,1,8,-0.0728403364508794,-0.0578771035020965,"not chaotic",0.06795921718468,-0.257040095732058
"V39",0.273544039969764,0.591116049258972,"gr-log",3,1,8,0.116958664178693,0.129778922581542,"chaotic",0.00534390791320827,-0.273182089063248
"V40",0.133525275066599,0.570761243238868,"gr-log",5,1,8,0.394332544414346,0.398718841130051,"chaotic",-0.0299698714001058,-0.181631402634747
"V41",0.343805494323401,0.191058992923753,"gr-log",5,1,0,-0.216791208815209,-0.215782320137414,"not chaotic",0.331543745990344,0.343805494323401
"V42",0.459432304603686,0.15055924761867,"gr-log",5,1,0,-0.194750635228834,-0.192607137076163,"not chaotic",0.449252078827502,0.459432304603686
"V43",0.541779573795687,0.12941853128598,"gr-log",5,1,0,-0.168896649686729,-0.165615986820273,"not chaotic",0.531491509977642,0.541779573795687
"V44",0.646456156437186,0.190524697832414,"gr-log",5,1,1.5,-0.116394636985982,-0.113248564124092,"not chaotic",0.608997238104949,0.625223458986908
"V45",0.776295395090646,0.282969212433211,"gr-log",6,1,0,-0.0518958375452012,-0.0493321146496387,"not chaotic",0.7150951476454,0.776295395090646
"V46",0.85562436681111,0.505819299402165,"gr-log",5,1,0.3,-0.024566175230603,-0.0206427700167052,"not chaotic",0.76539800550218,0.849599805763009
"V47",0.877647969705295,0.657921848690234,"gr-log",5,1,3,-0.0132254712836323,-0.00983611902025942,"not chaotic",0.735803209287947,0.816156817167611
"V48",0.866851358191166,0.705517552894161,"gr-log",6,1,3,-0.013699521218295,-0.00953783637410666,"not chaotic",0.725382988241544,0.809187286863762
"V49",0.745375137756553,0.700930564392231,"gr-log",3,1,8,-0.00407274047204426,-0.00021126266508404,"not chaotic",0.607724553948103,0.571171917341794
"V50",0.768514313577434,0.753350897875782,"gr-log",6,1,4,-0.0146822586368432,-0.00532717993768105,"not chaotic",0.605872943956315,0.573217266588153
"V51",0.645682467317159,0.635454743397232,"gr-log",6,1,6,0.0443140110946057,0.0483484975540397,"chaotic",0.505561715367022,0.463749114890717
"V52",0.638123640278078,0.72472542187633,"gr-log",6,1,6,0.0725339500051304,0.0785046668603798,"chaotic",0.456221725610235,0.434967889124162
"V53",0.316860322210982,0.473330417886082,"gr-log",2,1,4,-0.0482003588980594,-0.0439267733303258,"not chaotic",0.23630592119034,0.0147418916067048
"V54",0.345060850952616,0.650070689790995,"gr-log",4,1,8,0.128888341208668,0.136630393219128,"chaotic",0.206598586206523,-0.0221305728430274
"V55",0.186125915079413,0.408834559869643,"gr-log",2,1,8,0.100543840088366,0.109197191160572,"chaotic",0.125166509251922,0.0254658949098208
"V56",0.167003388264693,0.593727011389435,"gr-log",5,1,8,0.215185346820591,0.227349700310721,"chaotic",0.00798238020492603,-0.223090782367283
"V57",0.0265689329427213,0.49965661248044,"gr-log",6,1,4,0.392806788445232,0.404556712896105,"chaotic",-0.00434442966801618,-0.232755552513697
"V58",0.0442707669298464,0.509502844411367,"gr-log",5,1,8,0.337464158012231,0.345907722504713,"chaotic",-0.00472131370565076,-0.231392938065324
"V59",0.00652787020513867,0.303223802811315,"gr-log",2,1,6,-0.0150651177595412,-0.00695652224151791,"not chaotic",-0.000969577679236666,-0.207122125528539
"V60",0.0124748088849678,0.378597117055711,"gr-log",3,1,8,0.412876207416842,0.421041849427871,"chaotic",-0.0247895199628374,-0.185398913336374
