"Site","Name","Level","data_rescale_case","tslength","ndatapoints","longestrun","propmissing","nruns10","effectivenE2","Country","Type","Redistributable","Lat","Lon","Mass_g","MinAge_mo","SamplingInterval","mo_timestep","monotonic"
"North Sea","Skeletonema.costatum.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,1.88e-08,NA,"monthly",1,-0.00174827043559404
"North Sea","Thalassiosira.spp..","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,2.36e-07,NA,"monthly",1,0.185089099707307
"North Sea","Rhizosolenia.styliformis.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,-0.113912865633859
"North Sea","Rhizosolenia.hebetata.semispina.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,-0.0596561723835706
"North Sea","Chaetoceros.Hyalochaete..spp.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,-0.188227065556718
"North Sea","Chaetoceros.Phaeoceros..spp.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,-0.179982642450299
"North Sea","Odontella.sinensis.","SP",3,672,656,428,0.0238095238095238,2,652,"","Marine","no",56.3,3.4,1e-06,NA,"monthly",1,0.0251532458543377
"North Sea","Thalassionema.nitzschioides.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,2.16e-09,NA,"monthly",1,-0.0472006772534702
"North Sea","Proboscia.alata","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,4.08e-07,NA,"monthly",1,-0.0606311358988638
"North Sea","Pseudo.nitzschia.delicatissima.complex","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,0.0391482288243513
"North Sea","Pseudo.nitzschia.seriata.complex.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,0.157136041450344
"North Sea","Rhizosolenia.imbricata","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,6.18e-08,NA,"monthly",1,0.029462129512305
"North Sea","Coccolithaceae..Total.","SP",3,251,251,251,0,1,249,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,0.485405020432767
"North Sea","Silicoflagellates.","SP",3,252,252,252,0,1,250,"","Marine","no",56.3,3.4,3.35e-08,NA,"monthly",1,0.0964605229926311
"North Sea","Ceratium.fusus.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,2.38e-08,NA,"monthly",1,-0.223890038103048
"North Sea","Ceratium.furca.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,7.32e-08,NA,"monthly",1,-0.263637805070805
"North Sea","Ceratium.lineatum.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,3.22e-08,NA,"monthly",1,-0.123051171706787
"North Sea","Ceratium.tripos.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,5e-07,0.14,"monthly",1,-0.12436892141546
"North Sea","Ceratium.macroceros.","SP",3,672,650,389,0.0327380952380952,2,646,"","Marine","no",56.3,3.4,6.53e-08,NA,"monthly",1,-0.285128048856247
"North Sea","Ceratium.horridum.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,-0.0327123918098941
"North Sea","Ceratium.longipes.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,8.51e-08,NA,"monthly",1,-0.235762490305565
"North Sea","Dinophysis.spp..Total","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,2.74e-08,NA,"monthly",1,-0.0519834416272362
"North Sea","Protoperidinium.spp..","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,3.04e-07,NA,"monthly",1,-0.0844538103303817
"North Sea","Scrippsiella.spp..","SP",3,377,377,377,0,1,375,"","Marine","no",56.3,3.4,9.03e-09,NA,"monthly",1,-0.0197460153745571
"North Sea","Tintinnida.Total","SP",3,251,251,251,0,1,249,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,-0.204024483747164
"North Sea","Oithona.spp.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,2.4e-05,1.05,"monthly",1,-0.367584885625756
"North Sea","Pseudocalanus.spp..Adult.Atlantic","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,0.00017,0.753,"monthly",1,-0.193355505439783
"North Sea","Para.Pseudocalanus.spp.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,0.00017,0.753,"monthly",1,-0.273604936837548
"North Sea","Temora.longicornis","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,0.186548021129159
"North Sea","Centropages.typicus.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,0.00025,NA,"monthly",1,0.253198272003302
"North Sea","Centropages.hamatus.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,7.7e-05,0.6,"monthly",1,-0.06101273969218
"North Sea","Calanus.finmarchicus","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,0.002,1,"monthly",1,-0.465524102662248
"North Sea","Calanus.helgolandicus","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,8e-04,NA,"monthly",1,0.391897179936193
"North Sea","Metridia.lucens","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,0.00037,NA,"monthly",1,0.126572419678177
"North Sea","Candacia.armata","SP",3,672,611,399,0.0907738095238095,3,603,"","Marine","no",56.3,3.4,0.001255,NA,"monthly",1,0.294941744216264
"North Sea","Podon.spp.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,9.8e-06,NA,"monthly",1,0.0906156547090627
"North Sea","Evadne.spp.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,7.9e-06,NA,"monthly",1,-0.040147853880942
"North Sea","Cyphonautes","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,0.121418046611801
"North Sea","Echinoderm.larvae","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,0.155140630282831
"North Sea","Gammaridea","SP",3,672,615,400,0.0848214285714286,3,608,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,-0.131374091268654
"North Sea","Hyperiidea..Total.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,0.0509471614293445
"North Sea","Decapoda.larvae..Total.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,0.0920313952640964
