Name,Site,Binomial2,Mass_g,MinAge_mo,dry_mass_ug,wet_mass_ug,vol_um3,Notes
Ceratium.tripos,Port Erin Bay,Ceratium tripos,0.0000005,0.14,,,,"Boulding, E. G., & Platt, T. (1986). Variation in photosynthetic rates among individual cells of a marine dinoflagellate. Mar. Ecol. Prog. Ser, 29, 199-203."
Chaetoceras.decipiens,Port Erin Bay,Chaetoceras decipiens,2.63E-08,0.03097,,,,Baars 1981; sphere estimate
Coscinodiscus.concinnus,Port Erin Bay,Coscinodiscus concinnus,0.0000197,0.04417,,,,Baars 1981; sphere estimate
Coscinodiscus.grani,Port Erin Bay,Coscinodiscus grani,0.00000184,0.0389,,,,Baars 1981; sphere estimate
Coscinodiscus.radiatus,Port Erin Bay,Coscinodiscus radiatus,0.00000018,0.0375,,,,Baars 1981; sphere estimate
Echinoderm.plutei,Port Erin Bay,Echinoderm plutei,NA,NA,,,,
Gastropod.larvae,Port Erin Bay,Gastropod larvae,NA,NA,,,,
Guinardia.flaccida,Port Erin Bay,Guinardia flaccida,6.82E-08,0.034861111,,,,Baars 1981; sphere estimate
Lamellibranch.larvae,Port Erin Bay,Lamellibranch larvae,NA,NA,,,,
Lauderia.borealis,Port Erin Bay,Lauderia borealis,2.25E-08,0.013472222,,,,Baars 1981; sphere estimate
Medusoid.gonophores,Port Erin Bay,Medusoid gonophores,NA,NA,,,,
Noctiluca.miliaris,Port Erin Bay,Noctiluca miliaris,0.000065,0.167,,,,"Noctiluca scintillans, sphere estimate, growth rate 0.2 per day; Nakamura, Y. (1998). Growth and grazing of a large heterotrophic dinoflagellate, Noctiluca scintillans, in laboratory cultures. Journal of Plankton Research, 20(9), 1711-1720."
Oithona.similis,Port Erin Bay,Oithona similis,0.000024,1.05,,,,"Huntley Lopez 1992, worms, Cohen Lough"
Paracalanus.parvus,Port Erin Bay,Paracalanus parvus,0.0000936,0.62,,,,"Huntley Lopez 1992, worms, Cohen Lough"
Polychaete.larvae,Port Erin Bay,Polychaete larvae,NA,NA,,,,
Pseudocalanus.elongatus,Port Erin Bay,Pseudocalanus elongatus,0.00017,0.753,,,,"Huntley Lopez 1992, worms, Cohen Lough"
Rhizosolenia.shrubsolei,Port Erin Bay,Rhizosolenia shrubsolei,9.51E-10,0.0278,,,,Baars 1981; R. setigera congener of similar size; sphere estimate
Sagitta.bipunctata,Port Erin Bay,Sagitta bipunctata,0.012,1,,,,"length: worms, S. elegans at lower latitude has similar adult size and gen time about 30 days (Tiselius Peterson 1986); ellipsoid mass"
Temora.longicornis,Port Erin Bay,Temora longicornis,0.00012,0.687,,,,"Huntley Lopez 1992, worms, Cohen Lough"
Acartia_sp,Wadden Sea,Acartia sp,0.000035,,,,,avg of other acartia
Balanidae_nau,Wadden Sea,Balanidae nau,NA,NA,,,,
Bivalvia_larv,Wadden Sea,Bivalvia larv,NA,NA,,,,
C_hamatus,Wadden Sea,C hamatus,0.000077,0.6,,,,"Huntley Lopez 1992, worms, Cohen Lough"
Gastrop_larv,Wadden Sea,Gastrop larv,NA,NA,,,,
Harpacticoida,Wadden Sea,Harpacticoida,0.00006255,,12.51,62.55,,Dumont et al 1975
N_scintillans,Wadden Sea,N scintillans,0.000065,0.167,,,,"Noctiluca scintillans, sphere estimate, growth rate 0.2 per day; Nakamura, Y. (1998). Growth and grazing of a large heterotrophic dinoflagellate, Noctiluca scintillans, in laboratory cultures. Journal of Plankton Research, 20(9), 1711-1720."
O_dioica,Wadden Sea,O dioica,0.0002,,,,,"Oikopleura dioica, larvacean, body volume about 0.2 mm3; Lombard, F., Renaud, F., Sainsbury, C., Sciandra, A., & Gorsky, G. (2009). Appendicularian ecophysiology I: Food concentration dependent clearance rate, assimilation efficiency, growth and reproduction of Oikopleura dioica. Journal of Marine Systems, 78(4), 606-616."
Oithona_sp,Wadden Sea,Oithona sp,0.000024,1.05,,,,
P_elongatus,Wadden Sea,P elongatus,0.00017,0.753,,,,Pseudocalanus elongatus
Paracalanus_sp,Wadden Sea,Paracalanus sp,0.0000936,0.62,,,,used value for P. parvus
R_oktopunctata,Wadden Sea,R oktopunctata,0.01675,,,,,"Rathkea octopunctata, hydrozoan 4 mm diameter according to sealifebase, hemisphere 16.75 mm3"
Rotatoria,Wadden Sea,Rotatoria,NA,NA,,,,
Spionida_nektoch,Wadden Sea,Spionida nektoch,NA,NA,,,,
